Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/articles (list),4280,0,13,20.531152523367176,5.356600000141043,623.6956000002465,36.0,35.49526912935927,0.0,13,18,23,26,43,57,80,110,250,620,620
GET,GET /api/articles (seed),1284,0,13,19.961711370713694,5.302600000050006,218.31329999986337,36.0,10.648580738807782,0.0,13,17,22,25,41,57,82,110,170,220,220
GET,GET /api/tags,459,0,13,21.475195424839104,4.618899999968562,626.1595000000852,11.0,3.806618815508389,0.0,13,17,21,25,44,59,85,110,630,630,630
GET,GET /api/tags (seed),50,0,56,58.43124200001512,20.714400000088062,108.17910000014308,11.0,0.41466435898784193,0.0,57,69,75,78,95,98,110,110,110,110,110
,Aggregated,6073,0,13,20.794145726989946,4.618899999968562,626.1595000000852,33.90465997036061,50.36513304266328,0.0,13,18,23,27,44,60,82,110,250,630,630
